stage,priority,trigger,task,required_input,output,success_gate,fallback,current_status
A,P0,立即,冻结算法范围并停止无边界V4开发,T010至T018冻结证据,范围说明与停止规则,不消耗新锁定集且论文如实保留失败结论,监督作为失效边界章节,ready
A,P0,立即,建立一键毕业设计证据审计,task_list与evidence_matrix及processed结果,机器可读审计报告,证据路径状态和论文数字可回溯,人工证据表复核,completed
A,P1,立即,建立水分与流量标定记录模板,传感器规格与人工参考方法,标定CSV模板和协议,能够估计测量噪声和流量误差,沿用合成阈值但仅作暂定提示,completed
A,P1,立即,建立动态残差与已知误差分解入口,独立验证循环与标定结果,分解报告与拒绝判定,噪声尺度不相容时不输出过程噪声,保留为空并等待同源现场数据,completed
A,P1,立即,重构毕业论文章节证据表,冻结实验与开题审阅版,章节—主张—证据映射,每个主要结论都有冻结来源,删除无证据主张,completed
A,P2,导师要求演示,开发最小平台工作台,现有平台审计接口,任务与准入及命令反馈界面,状态可读且不改变正式算法结果,命令行演示,pending
A,P0,双层模型与控制主线衔接,补建通过准入的双层模型闭环,T036接口审计与T037冻结协议,双层规则与MPC配对结果,模型先准入且控制器不读取对象真值,保留单层T010为历史基准并以T041作为集成主结果,completed
B,P0,取得现场数据,完成传感器和流量标定,重复标定与人工参考记录,现场噪声和计量误差估计,冻结现场质量阈值,保持仿真结论边界,blocked_by_data
B,P0,取得至少3加2循环,运行两级数据准入,双深度水分流量气象与角色冻结,质量和信息准入报告,provisional_ready_for_identification,逐循环补采或缩减模型,blocked_by_data
B,P0,数据准入通过,辨识双层模型并独立验证,辨识与验证循环,参数版本和验证报告,一步与整循环技能及偏差和物理门全部通过,缩减结构或固定弱参数,blocked_by_data
C,P1,模型独立验证通过,规则与MPC真实数据离线回放,冻结模型及独立时段,配对回放结果,预设水量亏缺安全门达到,保留适用性边界不做实体控制,blocked_by_model
C,P2,联锁人工接管和流量反馈可用,影子运行或低风险分区闭环,安全审批与实体设备,闭环任务及反馈审计,无新增安全违反且可人工接管,停止在影子运行层,blocked_by_hardware
D,P0,论文收口,整合平台模型控制与边界证据,全部冻结结果,毕业论文和复现包,所有数字可追溯且结论不越界,降低题名与结论承诺,pending
