requirement_id,category,requirement,current_status,evidence,decision
R001,platform,任务命令反馈联锁与版本可追溯,completed,data/processed/platform_sil_v1.json,可作为平台软件在环证据
R002,model,非线性根区虚拟对象与参数敏感性,completed,src/rootzone_mpc/models/rootzone.py,仅代表仿真对象族
R003,model,红壤实测参数辨识与独立模型验证,missing,none,取得数据前不得主张红壤实证性能
R004,control,强规则基线与基础MPC独立对照,completed,data/processed/baseline_confirmation_v1.json,结论为少灌水伴轻微亏缺增加
R005,supervision,V1可信监督独立确认,failed,data/processed/supervision_confirmation_v1.json,作为异常检测不等于有效回退的失效证据
R006,supervision,V2估计回退独立确认,failed,data/processed/supervision_v2_confirmation_v1.json,改善缺水但出现3个过湿安全失败
R007,supervision,V3恢复与安全约束开发晋级,stopped,data/processed/supervision_v3_development_v1.json,无候选优于V2且不运行锁定集
R008,platform,消息乱序重复超时与崩溃恢复,completed,data/processed/platform_resilience_sil_v1.json,仅支持本地SQLite可靠消息语义
R009,validation,真实传感器与灌水反馈数据回放,missing,none,毕业设计工程可信度的优先补口
R010,validation,实体对照与作物产量品质测定,missing,none,缺失时不报告真实节水增产或肥效
R011,thesis,平台主体加MPC适用性与失效边界,ready,docs/thesis_feasibility_decision.md,推荐毕业设计主线
R012,implementation,Python正式算法流水线,completed,src/rootzone_mpc and scripts,Matlab仅作为可选交叉核验
R013,platform,真实MQTT QoS持久会话与断连重连,completed,data/processed/mqtt_sil_v1.json,仅支持单机代理和客户端软件在环
R014,implementation,双层根区灰箱模型辨识与冻结验证入口,completed,data/processed/two_layer_identification_smoke_v1.json,合成数据只证明流程可执行且不改变R003缺失状态
R015,validation,充分激励通过双层模型完整可辨识性判据,failed,data/processed/excitation_identifiability_v1.json,参数恢复改善但标准化条件数预设门失败
R016,validation,幅值敏感信息量预警合成参数恢复风险,completed,data/processed/information_identifiability_v1.json,三档激励下信息量与参数误差方向一致但不证明现场循环数量充分
R017,implementation,现场数据质量与模型信息两级准入闸门,completed,data/processed/field_model_admission_example_v1.json,合成弱激励样例被正确要求补采且现场阈值仍待标定
R018,thesis,当前证据总结与条件触发式毕业设计路线,completed,docs/current_project_summary_and_research_roadmap.md,平台主体和MPC适用性边界已收束且现场数据任务保持条件触发
R019,thesis,任务结果配置数字与主张边界自动审计,completed,data/processed/thesis_evidence_audit_v1.json,18项仓库一致性检查通过且缺失失败停止证据均被保留
R020,implementation,水分传感器与流量计标定数据入口,completed,data/processed/field_calibration_example_v1.json,合成样例验证计算流程且真实标定与过程噪声仍未取得
R021,implementation,现场观测输入区间与状态转移时间对齐,completed,docs/t031_input_alignment_correction.md,准入辨识与后续残差分解统一使用区间结束时间语义
R022,implementation,独立验证残差与测量及流量输入误差分解,completed,data/processed/dynamic_noise_example_v1.json,合成样例正确拒绝不相容噪声尺度且未生成伪过程噪声参数
R023,thesis,毕业论文章节主张与冻结证据映射,completed,docs/thesis_chapter_evidence_plan.md,八章结构已绑定研究问题主张产物和适用范围
R024,thesis,第3章数据准入与双层根区模型正文草稿,completed,docs/thesis_draft/chapter3_data_admission_and_greybox_model.md,方法公式冻结结果和拒绝逻辑已成章且8处关键数字自动绑定来源
R025,thesis,第4章强规则与区间MPC冻结对照正文草稿,completed,docs/thesis_draft/chapter4_rule_mpc_confirmatory_comparison.md,确认性配对评价权衡机制与适用边界已成章且8处核心数字自动绑定来源
R026,implementation,双层辨识模型与MPC控制接口一致性审计,completed,docs/t036_model_control_interface_audit.md,识别13项接口状态并冻结不绕过模型准入的补建顺序
R027,control,通过准入的双层模型驱动MPC闭环评价,missing,none,完成前不得声称双层辨识模型已经用于控制决策
R028,implementation,双层模型驱动MPC端到端验证协议,completed,docs/t037_two_layer_closed_loop_contract.md,15分钟双层对象数据准入命令反馈开发锁定隔离与分类已冻结
